Artist,Artist_discogs,Song_discogs,Song_duration_discogs,Album_title_discogs,Album_year_discogs,Album_genres_discogs,Featuring_discogs,Arranged By_discogs,Music By_discogs,Lyrics By_discogs,Bass_discogs,Drum_discogs,Guitar_discogs,Keyboards_discogs,Programmed By_discogs,Trumpet_discogs,Flugelhorn_discogs,Album_year_title_discogs,All_albums_discogs
Jelena Rozga,Jelena Rozga,Samo Simpatija,,The Best Of,2011,"['Pop', 'Folk, World, & Country']",,,,,,,,,,,,2011-The Best Of,2011-The Best Of
Jelena Rozga,Jelena Rozga,Godine S Magazinom,,The Best Of,2011,"['Pop', 'Folk, World, & Country']",,,,,,,,,,,,2011-The Best Of,2011-The Best Of
Jelena Rozga,Jelena Rozga,Ginem,,The Best Of,2011,"['Pop', 'Folk, World, & Country']",,,,,,,,,,,,2011-The Best Of,2011-The Best Of
Jelena Rozga,Jelena Rozga,Da Li Znaš Da Te Ne Volim,,The Best Of,2011,"['Pop', 'Folk, World, & Country']",,,,,,,,,,,,2011-The Best Of,2011-The Best Of
Jelena Rozga,Jelena Rozga,Ne tiče me se,,The Best Of,2011,"['Pop', 'Folk, World, & Country']",,,,,,,,,,,,2011-The Best Of,2011-The Best Of
Jelena Rozga,Jelena Rozga,Troši I Uživaj,,The Best Of,2011,"['Pop', 'Folk, World, & Country']",,,,,,,,,,,,2011-The Best Of,2011-The Best Of
Jelena Rozga,Jelena Rozga,'Ko Me Zove,,The Best Of,2011,"['Pop', 'Folk, World, & Country']",,,,,,,,,,,,2011-The Best Of,2011-The Best Of
Jelena Rozga,Jelena Rozga,Minus I Plus,,The Best Of,2011,"['Pop', 'Folk, World, & Country']",,,,,,,,,,,,2011-The Best Of,2011-The Best Of
Jelena Rozga,Jelena Rozga,Suze Biserne,,The Best Of,2011,"['Pop', 'Folk, World, & Country']",,,,,,,,,,,,2011-The Best Of,2011-The Best Of
Jelena Rozga,Jelena Rozga,Ako Poludim,,The Best Of,2011,"['Pop', 'Folk, World, & Country']",,,,,,,,,,,,2011-The Best Of,2011-The Best Of
Jelena Rozga,Jelena Rozga,Kad Bi Bio Blizu,,The Best Of,2011,"['Pop', 'Folk, World, & Country']",,,,,,,,,,,,2011-The Best Of,2011-The Best Of
Jelena Rozga,Jelena Rozga,S Druge Strane Mjeseca,,The Best Of,2011,"['Pop', 'Folk, World, & Country']",,,,,,,,,,,,2011-The Best Of,2011-The Best Of
Jelena Rozga,Jelena Rozga,"Ne Vjerujem Tebi, Ne Vjerujem Sebi",,The Best Of,2011,"['Pop', 'Folk, World, & Country']",,,,,,,,,,,,2011-The Best Of,2011-The Best Of
Jelena Rozga,Jelena Rozga,Jel' Zbog Nje,,The Best Of,2011,"['Pop', 'Folk, World, & Country']",,,,,,,,,,,,2011-The Best Of,2011-The Best Of
Jelena Rozga,Jelena Rozga,Minut' Srca Tvog,,The Best Of,2011,"['Pop', 'Folk, World, & Country']",,,,,,,,,,,,2011-The Best Of,2011-The Best Of
Jelena Rozga,Jelena Rozga,Nebo boje moje ljubavi,,The Best Of,2011,"['Pop', 'Folk, World, & Country']",,,,,,,,,,,,2011-The Best Of,2011-The Best Of
Jelena Rozga,Jelena Rozga,Samo Navika,,The Best Of,2011,"['Pop', 'Folk, World, & Country']",,,,,,,,,,,,2011-The Best Of,2011-The Best Of
Jelena Rozga,Jelena Rozga,Opijum (Ne Daj Mene Za Nju),,The Best Of,2011,"['Pop', 'Folk, World, & Country']",,,,,,,,,,,,2011-The Best Of,2011-The Best Of
Jelena Rozga,Jelena Rozga,Gutljaj Vina,,The Best Of,2011,"['Pop', 'Folk, World, & Country']",,,,,,,,,,,,2011-The Best Of,2011-The Best Of
Jelena Rozga,Jelena Rozga,Karantena,3:37,Bižuterija,2011,['Pop'],,,,,,,,,,,,2011-Bižuterija,2011-Bižuterija
Jelena Rozga,Jelena Rozga,Grizem,4:07,Bižuterija,2011,['Pop'],,,,,,,,,,,,2011-Bižuterija,2011-Bižuterija
Jelena Rozga,Jelena Rozga,Sad Il' Nikad,3:27,Bižuterija,2011,['Pop'],,,,,,,,,,,,2011-Bižuterija,2011-Bižuterija
Jelena Rozga,Jelena Rozga,Bižuterija,4:13,Bižuterija,2011,['Pop'],,,,,,,,,,,,2011-Bižuterija,2011-Bižuterija
Jelena Rozga,Jelena Rozga,Ona Ili Ja,3:38,Bižuterija,2011,['Pop'],,,,,,,,,,,,2011-Bižuterija,2011-Bižuterija
Jelena Rozga,Jelena Rozga,Ima Nade,3:36,Bižuterija,2011,['Pop'],Željko Samardžić,,,,,,,,,,,2011-Bižuterija,2011-Bižuterija
Jelena Rozga,Jelena Rozga,Rodit' Ću Ti 'Ćer I Sina,3:47,Bižuterija,2011,['Pop'],,,,,,,,,,,,2011-Bižuterija,2011-Bižuterija
Jelena Rozga,Jelena Rozga,Daj Šta Daš (Razbijači Čaša),3:29,Bižuterija,2011,['Pop'],,,,,,,,,,,,2011-Bižuterija,2011-Bižuterija
Jelena Rozga,Jelena Rozga,"Svega Ima, Al' Bi Još",3:33,Bižuterija,2011,['Pop'],,,,,,,,,,,,2011-Bižuterija,2011-Bižuterija
Jelena Rozga,Jelena Rozga,Djevica,3:52,Bižuterija,2011,['Pop'],,,,,,,,,,,,2011-Bižuterija,2011-Bižuterija
Jelena Rozga,Jelena Rozga,Ožiljak,3:39,Bižuterija,2011,['Pop'],,,,,,,,,,,,2011-Bižuterija,2011-Bižuterija
Jelena Rozga,Jelena Rozga,Ostavit' Ću Svitlo,3:54,Bižuterija,2011,['Pop'],Klapa Iskon,,,,,,,,,,,2011-Bižuterija,2011-Bižuterija
Jelena Rozga,Jelena Rozga,Bonus,,Bižuterija,2011,['Pop'],,,,,,,,,,,,2011-Bižuterija,2011-Bižuterija/2016-Moderna Žena
Jelena Rozga,Jelena Rozga,Sad Il' Nikad (Club Version),3:34,Bižuterija,2011,['Pop'],,,,,,,,,,,,2011-Bižuterija,2011-Bižuterija
Jelena Rozga,Jelena Rozga,Aha (Prvi Javni Nastup),2:58,Bižuterija,2011,['Pop'],,,,,,,,,,,,2011-Bižuterija,2011-Bižuterija
Jelena Rozga,Jelena Rozga,Udajem Se,4:28,Udajem Se,2016,['Pop'],,,,,,,,,,,,2016-Udajem Se,2016-Udajem Se/2016-Moderna Žena
Jelena Rozga,Jelena Rozga,Nasljednik,,Nasljednik,2016,['Pop'],,,,,,,,,,,,2016-Nasljednik,2016-Nasljednik/2016-Moderna Žena
Jelena Rozga,Jelena Rozga,Pismo - Glava,4:01,Pismo - Glava ,2016,['Pop'],,,,,,,,,,,,2016-Pismo - Glava ,2016-Pismo - Glava /2016-Moderna Žena
Jelena Rozga,Jelena Rozga,Moderna Žena,4:07,Moderna Žena,2016,['Pop'],,,,,,,,,,,,2016-Moderna Žena,2016-Moderna Žena
Jelena Rozga,Jelena Rozga,"Ne Pijem, Ne Pušim",3:29,Moderna Žena,2016,['Pop'],,,,,,,,,,,,2016-Moderna Žena,2016-Moderna Žena
Jelena Rozga,Jelena Rozga,Svjetla Neona,3:16,Moderna Žena,2016,['Pop'],,,,,,,,,,,,2016-Moderna Žena,2016-Moderna Žena
Jelena Rozga,Jelena Rozga,Žileti,3:12,Moderna Žena,2016,['Pop'],,Aleksandar Krsmanović,Saša Lazić,Saša Lazić,,,,,,,,2016-Moderna Žena,2016-Moderna Žena
Jelena Rozga,Jelena Rozga,Rođena Sam,4:20,Moderna Žena,2016,['Pop'],,,,Robert Pilepić,,,,,,,,2016-Moderna Žena,2016-Moderna Žena
Jelena Rozga,Jelena Rozga,Otrov,3:07,Moderna Žena,2016,['Pop'],,Bojan Dragojević,Dušan Bačić,Dušan Bačić,,,,,,,,2016-Moderna Žena,2016-Moderna Žena
Jelena Rozga,Jelena Rozga,Kraljica,3:46,Moderna Žena,2016,['Pop'],,,,,,,,,,,,2016-Moderna Žena,2016-Moderna Žena
Jelena Rozga,Jelena Rozga,Tsunami,3:08,Moderna Žena,2016,['Pop'],,Bojan Dragojević,Dušan Bačić,Dušan Bačić,,,,,,,,2016-Moderna Žena,2016-Moderna Žena
Jelena Rozga,Jelena Rozga,Razmažena (Splitski Festival 2011),3:43,Moderna Žena,2016,['Pop'],,,,,,,,,,,,2016-Moderna Žena,2016-Moderna Žena
Jelena Rozga,Jelena Rozga,Dalmatinka,4:23,Moderna Žena,2016,['Pop'],Connect,Zdeslav Klarić,Zdeslav Klarić,Samir Mujagić,,,,,,,,2016-Moderna Žena,2016-Moderna Žena
Jelena Rozga,Jelena Rozga,Zanemari (CMC Festival Vodice 2012),4:07,Moderna Žena,2016,['Pop'],,,,,,,,,,,,2016-Moderna Žena,2016-Moderna Žena
Jelena Rozga,Jelena Rozga,Solo Igračica (Splitski Festival 2012),3:44,Moderna Žena,2016,['Pop'],,,,,,,,,,,,2016-Moderna Žena,2016-Moderna Žena
Jelena Rozga,Jelena Rozga,Dobitna Kombinacija,3:51,Moderna Žena,2016,['Pop'],,,,,,,,,,,,2016-Moderna Žena,2016-Moderna Žena
Jelena Rozga,Jelena Rozga,Nirvana (CMC Festival Vodice 2013),3:44,Moderna Žena,2016,['Pop'],,,,,,,,,,,,2016-Moderna Žena,2016-Moderna Žena
Jelena Rozga,Jelena Rozga,Obožavam,3:56,Moderna Žena,2016,['Pop'],,,,,,,,,,,,2016-Moderna Žena,2016-Moderna Žena
Jelena Rozga,Jelena Rozga,Cirkus,3:42,Moderna Žena,2016,['Pop'],,Fedor Boić,,,,,,,,,,2016-Moderna Žena,2016-Moderna Žena
Jelena Rozga,Jelena Rozga,Prsti Zapleteni,3:52,Moderna Žena,2016,['Pop'],Klapa Rišpet,,,Ivica Brnas,,,,,,,,2016-Moderna Žena,2016-Moderna Žena
Jelena Rozga,Jelena Rozga,Okus Mentola (CMC Festival Vodice 2014),4:06,Moderna Žena,2016,['Pop'],,,,,,,,,,,,2016-Moderna Žena,2016-Moderna Žena
Jelena Rozga,Jelena Rozga,Život Je čudo,3:56,Moderna Žena,2016,['Pop'],,Dragan Tašković,,,,,,,,,,2016-Moderna Žena,2016-Moderna Žena
Jelena Rozga,Jelena Rozga,"Odo' Ja (Soundtrack - ""Kud Puklo Da Puklo"")",3:49,Moderna Žena,2016,['Pop'],,Fedor Boić,,,,,,,,,,2016-Moderna Žena,2016-Moderna Žena
Jelena Rozga,Jelena Rozga,Najbolji Dan,4:08,Najbolji Dan,2018,"['Electronic', 'Pop']",,,,,,,,,,,,2018-Najbolji Dan,2018-Najbolji Dan
Jelena Rozga,Jelena Rozga,Ostani,3:04,Ostani,2018,['Pop'],,,,,,,,,,,,2018-Ostani,2018-Ostani
Jelena Rozga,Jelena Rozga,Uzmem Koliko Mi Daš,3:28,Uzmem Koliko Mi Daš,2018,['Pop'],,,,,,,,,,,,2018-Uzmem Koliko Mi Daš,2018-Uzmem Koliko Mi Daš
Jelena Rozga,Jelena Rozga,Moje Proljeće,3:54,Moje Proljeće,2019,['Pop'],,,,,,,,,,,,2019-Moje Proljeće,2019-Moje Proljeće
Jelena Rozga,Jelena Rozga,Sveto Pismo,3:37,Sveto Pismo,2020,['Pop'],,,,,,,,,,,,2020-Sveto Pismo,2020-Sveto Pismo
Jelena Rozga,Jelena Rozga,Minut Srca Tvog (2021),3:10,Minut Srca Tvog (2021),2021,['Pop'],,Aleksandar Buzadžić,Tonči Huljić,Vjekoslava Huljić,Dragan Ivanović,Srđan Dunkić,Uroš Teofilović,Aleksandar Buzadžić,Aleksandar Buzadžić,,,2021-Minut Srca Tvog (2021),2021-Minut Srca Tvog (2021)
Jelena Rozga,Jelena Rozga,Cirkus (2021),,Cirkus (2021),2021,['Pop'],,Aleksandar Buzadžić,Tonči Huljić,Vjekoslava Huljić,Dragan Ivanović,Srđan Dunkić,Uroš Teofilović,Aleksandar Buzadžić,Aleksandar Buzadžić,Miloš Nikolić (3),Miloš Nikolić (3),2021-Cirkus (2021),2021-Cirkus (2021)
Jelena Rozga,Jelena Rozga,Medley,5:56,Medley,2021,['Pop'],,,,,,,,,,,,2021-Medley,2021-Medley
