Artist,Artist_discogs,Song_discogs,Song_duration_discogs,Album_title_discogs,Written-By_discogs,Album_year_discogs,Arranged By_discogs,Lyrics By_discogs,Music By_discogs,Conductor_discogs,Engineer_discogs,Orchestra_discogs,Backing Vocals_discogs,Featuring_discogs,Performer_discogs,Vocals_discogs,Bass Guitar_discogs,Drum Programming_discogs,Guitar_discogs,Keyboards_discogs,Vocals [Duet]_discogs,Featuring [Uncredited]_discogs,Directed By_discogs,Featuring [Piano]_discogs,Cello_discogs,Accordion_discogs,Acoustic Guitar_discogs,Percussion_discogs,Lead Guitar_discogs,Electric Guitar_discogs,Drums_discogs,Flugelhorn_discogs,Mandolin_discogs,Saxophone_discogs,Harmonica_discogs,Choir_discogs,Piano_discogs,Electric Guitar [Solo]_discogs,Album_year_title_discogs,All_albums_discogs
Oliver Dragojević,Oliver Dragojević,Reci Mi To,4:54,Vrime,Guido Mineo,,Guido Mineo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Vrime,nan-Vrime/2006.0-Oliver 2/2016.0-Original Album Collection - Vol. 2
Oliver Dragojević,Oliver Dragojević,Morski Vuk,4:27,Vrime,Guido Mineo,,,,,,,,,,,Tony Cetinski,,,,,,,,,,,,,,,,,,,,,,,nan-Vrime,nan-Vrime/nan-Oliver U Areni/nan-Vjeruj U Ljubav/2004.0-Oliver Live/2004.0-Oliver Live/2006.0-A L'Olympia/2006.0-Oliver 2/2006.0-Oliver 2/nan-A L'Olympia/2010.0-Antologija 1975 - 2010/2013.0-100 Originalnih Pjesama/2016.0-Original Album Collection - Vol. 2/2017.0-Dueti/2020.0-Original Album Collection – Oliver Live
Oliver Dragojević,Oliver Dragojević,Boginja,3:20,Vrime,Petar Grašo,,Guido Mineo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Vrime,nan-Vrime/nan-Oliver U Lisinskom/2006.0-Oliver 2/2016.0-Original Album Collection - Vol. 2/2020.0-Original Album Collection – Oliver Live
Oliver Dragojević,Oliver Dragojević,Pupoljci I Mraz,4:22,Vrime,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Vrime,nan-Vrime/2006.0-Oliver 2/2016.0-Original Album Collection - Vol. 2
Oliver Dragojević,Oliver Dragojević,Spli'ski Đir,4:39,Vrime,,,,Dragan Lukić (2),Guido Mineo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Vrime,nan-Vrime
Oliver Dragojević,Oliver Dragojević,Dobar Dan,4:11,Vrime,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Vrime,nan-Vrime/nan-Oliver U Areni/2006.0-Oliver 2/nan-Kozmički Dalmatinac (Antologija 1975. - 2005.)/nan-Momenti/2011.0-Antologija 4 (1975 - 2010)/2016.0-Original Album Collection - Vol. 2/2020.0-Original Album Collection – Oliver Live
Oliver Dragojević,Oliver Dragojević,You've Got A Friend,4:26,Oliver U Lisinskom,Carole King,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Oliver U Lisinskom,nan-Oliver U Lisinskom/2020.0-Original Album Collection – Oliver Live
Oliver Dragojević,Oliver Dragojević,Medley - Skalinada / Malinkolija,3:34,Oliver U Lisinskom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Oliver U Lisinskom,nan-Oliver U Lisinskom
Oliver Dragojević,Oliver Dragojević,Medley - Što Učinila Si Ti / Proud Mary / Žuto Lišće Ljubavi,9:10,Oliver U Lisinskom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Oliver U Lisinskom,nan-Oliver U Lisinskom
Oliver Dragojević,Oliver Dragojević,Jubav Moja,2:58,Oliver U Lisinskom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Oliver U Lisinskom,nan-Oliver U Lisinskom/1997.0-Najveći Hitovi 1990 - 1997/2010.0-Najljepše Ljubavne Pjesme/2011.0-Jubav Moja/2013.0-100 Originalnih Pjesama/2017.0-Dueti/2020.0-Original Album Collection – Oliver Live
Oliver Dragojević,Oliver Dragojević,Dobro Jutro Tugo,3:20,Oliver U Lisinskom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Oliver U Lisinskom,nan-Oliver U Lisinskom/2004.0-Oliver Live/2004.0-Oliver Live
Oliver Dragojević,Oliver Dragojević,Cesarica,4:42,Oliver U Lisinskom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Oliver U Lisinskom,nan-Oliver U Lisinskom/1997.0-Najveći Hitovi 1990 - 1997/1999.0-Balade/nan-Oliver U Areni/2004.0-Oliver Live/2004.0-Oliver Live/2006.0-A L'Olympia/2006.0-The Platinum Collection/nan-A L'Olympia/nan-Kozmički Dalmatinac (Antologija 1975. - 2005.)/nan-Momenti/2010.0-Antologija 1975 - 2010/2010.0-Najljepše Ljubavne Pjesme/2012.0-Untitled/2013.0-100 Originalnih Pjesama/2014.0-USA & Canada Tour 2014/2015.0-The Best Of Collection/2020.0-Original Album Collection – Oliver Live/2020.0-Original Album Collection – Oliver Live
Oliver Dragojević,Oliver Dragojević,Lučija,,Najveći Hitovi 1990 - 1997,,1997.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1997.0-Najveći Hitovi 1990 - 1997,1997.0-Najveći Hitovi 1990 - 1997/nan-Duša Mi Je More/nan-100/2006.0-Oliver 2/nan-Antologija 2 1975 - 2010/2016.0-Original Album Collection - Vol. 2
Oliver Dragojević,Oliver Dragojević,Ar'ja,,Najveći Hitovi 1990 - 1997,,1997.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1997.0-Najveći Hitovi 1990 - 1997,1997.0-Najveći Hitovi 1990 - 1997
Oliver Dragojević,Oliver Dragojević,Nisan Ja Za Te,,Najveći Hitovi 1990 - 1997,,1997.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1997.0-Najveći Hitovi 1990 - 1997,1997.0-Najveći Hitovi 1990 - 1997
Oliver Dragojević,Oliver Dragojević,Bonus:,,Najveći Hitovi 1990 - 1997,,1997.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1997.0-Najveći Hitovi 1990 - 1997,1997.0-Najveći Hitovi 1990 - 1997
Oliver Dragojević,Oliver Dragojević,Ar`Ja (Dora 94),2:50,Najveći Hitovi 1990. - 1995.,,1997.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1997.0-Najveći Hitovi 1990. - 1995.,1997.0-Najveći Hitovi 1990. - 1995.
Oliver Dragojević,Oliver Dragojević,Nisan Ja Za Te (Mhj 95),3:41,Najveći Hitovi 1990. - 1995.,,1997.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1997.0-Najveći Hitovi 1990. - 1995.,1997.0-Najveći Hitovi 1990. - 1995.
Oliver Dragojević,Oliver Dragojević,Jubav Moja (MHJ 94),3:45,Najveći Hitovi 1990. - 1995.,,1997.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1997.0-Najveći Hitovi 1990. - 1995.,1997.0-Najveći Hitovi 1990. - 1995.
Oliver Dragojević,Oliver Dragojević,Neka Se Drugi Raduju (Split 90),3:22,Najveći Hitovi 1990. - 1995.,,1997.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1997.0-Najveći Hitovi 1990. - 1995.,1997.0-Najveći Hitovi 1990. - 1995.
Oliver Dragojević,Oliver Dragojević,Bez Tebe (Split 92),3:22,Najveći Hitovi 1990. - 1995.,,1997.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1997.0-Najveći Hitovi 1990. - 1995.,1997.0-Najveći Hitovi 1990. - 1995.
Oliver Dragojević,Oliver Dragojević,Cesarica (MHJ 93),4:18,Najveći Hitovi 1990. - 1995.,,1997.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1997.0-Najveći Hitovi 1990. - 1995.,1997.0-Najveći Hitovi 1990. - 1995.
Oliver Dragojević,Oliver Dragojević,Mi Smo Hrvatski Mornari,3:18,Najveći Hitovi 1990. - 1995.,,1997.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1997.0-Najveći Hitovi 1990. - 1995.,1997.0-Najveći Hitovi 1990. - 1995./nan-100
Oliver Dragojević,Oliver Dragojević,Prije Svitanja,4:43,Duša Mi Je More,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Duša Mi Je More,nan-Duša Mi Je More/2006.0-Oliver 2/nan-Kozmički Dalmatinac (Antologija 1975. - 2005.)/2010.0-Najljepše Ljubavne Pjesme/2016.0-Original Album Collection - Vol. 2
Oliver Dragojević,Oliver Dragojević,Dišem,5:13,Duša Mi Je More,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Duša Mi Je More,nan-Duša Mi Je More/2006.0-Oliver 2/2016.0-Original Album Collection - Vol. 2
Oliver Dragojević,Oliver Dragojević,Pismo Moja,3:35,Duša Mi Je More,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Duša Mi Je More,nan-Duša Mi Je More/nan-Oliver U Areni/2002.0-Live Zadar 2002/2004.0-Oliver Live/2004.0-Oliver Live/2006.0-The Platinum Collection/2006.0-Oliver 2/nan-Kozmički Dalmatinac (Antologija 1975. - 2005.)/nan-Momenti/nan-Noć Nek' Tiho Svira/2013.0-100 Originalnih Pjesama/2014.0-USA & Canada Tour 2014/2016.0-Original Album Collection - Vol. 2/nan-Kad Mi Dođeš Ti/2020.0-Original Album Collection – Oliver Live
Oliver Dragojević,Oliver Dragojević,Nebo Moje,4:42,Duša Mi Je More,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Duša Mi Je More,nan-Duša Mi Je More/2006.0-Oliver 2/2016.0-Original Album Collection - Vol. 2
Oliver Dragojević,Oliver Dragojević,Za Život Me Vežes Samo Ti,5:13,Duša Mi Je More,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Duša Mi Je More,nan-Duša Mi Je More
Oliver Dragojević,Oliver Dragojević,Ispod Sunca Zlatnoga,4:07,Duša Mi Je More,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Duša Mi Je More,nan-Duša Mi Je More/1999.0-Balade/2006.0-Oliver 2/2013.0-100 Originalnih Pjesama/2016.0-Original Album Collection - Vol. 2
Oliver Dragojević,Oliver Dragojević,Još Sam Tu,4:46,Duša Mi Je More,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Duša Mi Je More,nan-Duša Mi Je More/2006.0-Oliver 2/2016.0-Original Album Collection - Vol. 2
Oliver Dragojević,Oliver Dragojević,Kad Bi Došla Ti,3:59,Duša Mi Je More,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Duša Mi Je More,nan-Duša Mi Je More/2006.0-Oliver 2/2016.0-Original Album Collection - Vol. 2
Oliver Dragojević,Oliver Dragojević,Nisam Te Zaslužio,4:54,Duša Mi Je More,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Duša Mi Je More,nan-Duša Mi Je More/nan-Oliver U Areni/2006.0-Oliver 2/nan-Kozmički Dalmatinac (Antologija 1975. - 2005.)/2016.0-Original Album Collection - Vol. 2/2020.0-Original Album Collection – Oliver Live
Oliver Dragojević,Oliver Dragojević,Ovaj Put Ne,4:08,Duša Mi Je More,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Duša Mi Je More,nan-Duša Mi Je More/2006.0-Oliver 2/2016.0-Original Album Collection - Vol. 2
Oliver Dragojević,Oliver Dragojević,Gore Si Ti,3:57,Duša Mi Je More,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Duša Mi Je More,nan-Duša Mi Je More/2006.0-Oliver 2/nan-Momenti/2016.0-Original Album Collection - Vol. 2
Oliver Dragojević,Oliver Dragojević,Cesarica (uživo),4:20,Sećanja 1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Sećanja 1 ,nan-Sećanja 1 
Oliver Dragojević,Oliver Dragojević,Kad Bi Samo Ljubit' Znala,3:50,Sećanja 1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Sećanja 1 ,nan-Sećanja 1 
Oliver Dragojević,Oliver Dragojević,Ća Će Mi Kopakabana,3:54,Sećanja 1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Sećanja 1 ,nan-Sećanja 1 
Oliver Dragojević,Oliver Dragojević,"Anđela, Anđela",3:29,Sećanja 1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Sećanja 1 ,nan-Sećanja 1 /2010.0-Antologija 1975 - 2010
Oliver Dragojević,Oliver Dragojević,CD 1,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-100,nan-100/2014.0-USA & Canada Tour 2014
Oliver Dragojević,Oliver Dragojević,Ar'Ja,2:58,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-100,nan-100
Oliver Dragojević,Oliver Dragojević,CD 2,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-100,nan-100/2014.0-USA & Canada Tour 2014
Oliver Dragojević,Oliver Dragojević,CD 3,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-100,nan-100
Oliver Dragojević,Oliver Dragojević,Ništa Nova,4:15,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-100,nan-100/2004.0-Oliver Live/2004.0-Oliver Live/2006.0-A L'Olympia/nan-A L'Olympia/nan-Kozmički Dalmatinac (Antologija 1975. - 2005.)/2012.0-Untitled/2013.0-100 Originalnih Pjesama
Oliver Dragojević,Oliver Dragojević,Svoju Zvizdu Slidim,3:35,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-100,nan-100/2011.0-Antologija 4 (1975 - 2010)
Oliver Dragojević,Oliver Dragojević,Moja Jube,4:08,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-100,nan-100/0.0-The Best Of Oliver
Oliver Dragojević,Oliver Dragojević,CD 4,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-100,nan-100
Oliver Dragojević,Oliver Dragojević,Đeni,3:11,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-100,nan-100/2006.0-Oliver 1/2013.0-100 Originalnih Pjesama/nan-Kad Mi Dođeš Ti
Oliver Dragojević,Oliver Dragojević,Blago Onom Tko Te Ljubi,3:02,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-100,nan-100/2006.0-Oliver 1/2010.0-Najljepše Ljubavne Pjesme/2011.0-Antologija 4 (1975 - 2010)/2013.0-100 Originalnih Pjesama
Oliver Dragojević,Oliver Dragojević,CD 5,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-100,nan-100
Oliver Dragojević,Oliver Dragojević,Kad Bi Samo Jubit Znala,3:49,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-100,nan-100
Oliver Dragojević,Oliver Dragojević,Vodi Me Tamo Kraj Plavoga Mora,2:56,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-100,nan-100/2006.0-Oliver 1
Oliver Dragojević,Oliver Dragojević,Majko Da Li Znaš,3:17,Sećanja 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Sećanja 2,nan-Sećanja 2/nan-Antologija 2 1975 - 2010
Oliver Dragojević,Oliver Dragojević,Ća Je Život Vengo Fantažija,2:45,Sećanja 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Sećanja 2,nan-Sećanja 2/nan-Antologija 2 1975 - 2010
Oliver Dragojević,Oliver Dragojević,Infiša Sam U Te,3:53,Sećanja 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Sećanja 2,nan-Sećanja 2
Oliver Dragojević,Oliver Dragojević,Tu Non Luores Mi Querida,3:44,Sećanja 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Sećanja 2,nan-Sećanja 2
Oliver Dragojević,Oliver Dragojević,Zašto,4:21,Balade,,1999.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1999.0-Balade,1999.0-Balade
Oliver Dragojević,Oliver Dragojević,Dva Put Sam Umra,3:46,Balade,,1999.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1999.0-Balade,1999.0-Balade
Oliver Dragojević,Oliver Dragojević,Potpuri “Addio Bella”,4:32,Oliver Mix,,2000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000.0-Oliver Mix,2000.0-Oliver Mix
Oliver Dragojević,Oliver Dragojević,Potpuri “Skalinada”,5:48,Oliver Mix,,2000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000.0-Oliver Mix,2000.0-Oliver Mix
Oliver Dragojević,Oliver Dragojević,Potpuri “Karoca”,5:05,Oliver Mix,,2000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000.0-Oliver Mix,2000.0-Oliver Mix
Oliver Dragojević,Oliver Dragojević,"Potpuri “Oprosti Mi, Pape”",5:15,Oliver Mix,,2000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000.0-Oliver Mix,2000.0-Oliver Mix
Oliver Dragojević,Oliver Dragojević,Potpuri “Žuto Lišće Ljubavi”,4:35,Oliver Mix,,2000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000.0-Oliver Mix,2000.0-Oliver Mix
Oliver Dragojević,Oliver Dragojević,Potpuri “Rojena Valo”,5:38,Oliver Mix,,2000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000.0-Oliver Mix,2000.0-Oliver Mix
Oliver Dragojević,Oliver Dragojević,Potpuri “Sunčane Fontane”,5:10,Oliver Mix,,2000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000.0-Oliver Mix,2000.0-Oliver Mix
Oliver Dragojević,Oliver Dragojević,Potpuri “Infiša San U Te”,5:14,Oliver Mix,,2000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000.0-Oliver Mix,2000.0-Oliver Mix
Oliver Dragojević,Oliver Dragojević,Potpuri “Splite Moj”,4:47,Oliver Mix,,2000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000.0-Oliver Mix,2000.0-Oliver Mix
Oliver Dragojević,Oliver Dragojević,Potpuri “Serenada”,5:19,Oliver Mix,,2000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000.0-Oliver Mix,2000.0-Oliver Mix
Oliver Dragojević,Oliver Dragojević,Potpuri “Tiha Noć”,4:17,Oliver Mix,,2000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000.0-Oliver Mix,2000.0-Oliver Mix
Oliver Dragojević,Oliver Dragojević,Potpuri “Dišperadun”,5:32,Oliver Mix,,2000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000.0-Oliver Mix,2000.0-Oliver Mix
Oliver Dragojević,Oliver Dragojević,Potpuri “Luce Mala”,4:43,Oliver Mix,,2000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000.0-Oliver Mix,2000.0-Oliver Mix
Oliver Dragojević,Oliver Dragojević,Potpuri “Gondoljer”,4:50,Oliver Mix,,2000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000.0-Oliver Mix,2000.0-Oliver Mix
Oliver Dragojević,Oliver Dragojević,Potpuri “Dome Moj”,5:06,Oliver Mix,,2000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000.0-Oliver Mix,2000.0-Oliver Mix
Oliver Dragojević,Oliver Dragojević,Potpuri “Danijela”,5:07,Oliver Mix,,2000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000.0-Oliver Mix,2000.0-Oliver Mix
Oliver Dragojević,Oliver Dragojević,Tko Sam Ja Da Ti Sudim,4:30,"Dvi, Tri Riči",Jure Stanić,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"nan-Dvi, Tri Riči","nan-Dvi, Tri Riči/nan-Oliver U Areni/2004.0-Oliver Live/2004.0-Oliver Live/2006.0-A L'Olympia/2006.0-The Platinum Collection/2006.0-Oliver 2/nan-A L'Olympia/nan-Kozmički Dalmatinac (Antologija 1975. - 2005.)/nan-Momenti/nan-Antologija 2 1975 - 2010/2013.0-100 Originalnih Pjesama/2014.0-USA & Canada Tour 2014/2015.0-The Best Of Collection/2016.0-Original Album Collection - Vol. 2/nan-Kad Mi Dođeš Ti/2020.0-Original Album Collection – Oliver Live"
Oliver Dragojević,Oliver Dragojević,Ješka Od Jubavi,4:00,"Dvi, Tri Riči",,,,Tomislav Mrduljaš,Tomislav Mrduljaš,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"nan-Dvi, Tri Riči","nan-Dvi, Tri Riči/2004.0-Oliver Live/2006.0-Oliver 2/2016.0-Original Album Collection - Vol. 2"
Oliver Dragojević,Oliver Dragojević,Moj Lipi Anđele,4:11,"Dvi, Tri Riči",Hari Rončević,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"nan-Dvi, Tri Riči","nan-Dvi, Tri Riči/nan-Oliver U Areni/2004.0-Oliver Live/2004.0-Oliver Live/2006.0-A L'Olympia/2006.0-The Platinum Collection/2006.0-Oliver 2/nan-A L'Olympia/nan-Kozmički Dalmatinac (Antologija 1975. - 2005.)/nan-Momenti/2010.0-Najljepše Ljubavne Pjesme/2012.0-Untitled/2013.0-100 Originalnih Pjesama/2015.0-The Best Of Collection/2016.0-Original Album Collection - Vol. 2/2020.0-Original Album Collection – Oliver Live"
Oliver Dragojević,Oliver Dragojević,Ti Mi Čitaš Misli,4:08,"Dvi, Tri Riči",Jure Stanić,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"nan-Dvi, Tri Riči","nan-Dvi, Tri Riči/2006.0-Oliver 2/nan-Kozmički Dalmatinac (Antologija 1975. - 2005.)/2016.0-Original Album Collection - Vol. 2/nan-Kad Mi Dođeš Ti"
Oliver Dragojević,Oliver Dragojević,Prati Me Kroz Snove,4:10,"Dvi, Tri Riči",Jure Stanić,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"nan-Dvi, Tri Riči","nan-Dvi, Tri Riči/2006.0-Oliver 2/2016.0-Original Album Collection - Vol. 2"
Oliver Dragojević,Oliver Dragojević,Teška Je Noć,3:48,"Dvi, Tri Riči",,,,Vjekoslava Huljić,Tonči Huljić,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"nan-Dvi, Tri Riči","nan-Dvi, Tri Riči/2006.0-Oliver 2/2016.0-Original Album Collection - Vol. 2"
Oliver Dragojević,Oliver Dragojević,Kad Mi Dođeš Ti,3:55,"Dvi, Tri Riči",Vinko Barčot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"nan-Dvi, Tri Riči","nan-Dvi, Tri Riči/nan-Oliver U Areni/2002.0-Live Zadar 2002/2004.0-Oliver Live/2006.0-A L'Olympia/2006.0-The Platinum Collection/2006.0-Oliver 2/nan-A L'Olympia/nan-Kozmički Dalmatinac (Antologija 1975. - 2005.)/nan-Momenti/2010.0-Antologija 1975 - 2010/2015.0-The Best Of Collection/2016.0-Original Album Collection - Vol. 2/2017.0-Dueti/nan-Kad Mi Dođeš Ti/2020.0-Original Album Collection – Oliver Live"
Oliver Dragojević,Oliver Dragojević,Samo Ti,3:46,"Dvi, Tri Riči",Vinko Barčot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"nan-Dvi, Tri Riči","nan-Dvi, Tri Riči/2006.0-Oliver 2/2016.0-Original Album Collection - Vol. 2"
Oliver Dragojević,Oliver Dragojević,Tvoje Suze Mi Sude,3:18,"Dvi, Tri Riči",Dado Pastuović,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"nan-Dvi, Tri Riči","nan-Dvi, Tri Riči/nan-Oliver U Areni/2004.0-Oliver Live/2006.0-Oliver 2/2016.0-Original Album Collection - Vol. 2/2020.0-Original Album Collection – Oliver Live"
Oliver Dragojević,Oliver Dragojević,"Ajde, Zbogom",4:00,"Dvi, Tri Riči",Jure Stanić,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"nan-Dvi, Tri Riči","nan-Dvi, Tri Riči/nan-Oliver U Areni/2006.0-Oliver 2/2016.0-Original Album Collection - Vol. 2/2020.0-Original Album Collection – Oliver Live"
Oliver Dragojević,Oliver Dragojević,Tvoje Ruke,3:42,"Dvi, Tri Riči",,,,Ivica Krajač,Duško Rapotec - Ute,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"nan-Dvi, Tri Riči","nan-Dvi, Tri Riči/2006.0-Oliver 2/2016.0-Original Album Collection - Vol. 2"
Oliver Dragojević,Oliver Dragojević,"Dobro Jutro, Tugo",,Oliver U Areni,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Oliver U Areni,nan-Oliver U Areni/2020.0-Original Album Collection – Oliver Live/2020.0-Original Album Collection – Oliver Live
Oliver Dragojević,Oliver Dragojević,Namisto Molitve,,Live Zadar 2002,,2002.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2002.0-Live Zadar 2002,2002.0-Live Zadar 2002
Oliver Dragojević,Oliver Dragojević,Misao Svijeta,,Live Zadar 2002,,2002.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2002.0-Live Zadar 2002,2002.0-Live Zadar 2002
Oliver Dragojević,Oliver Dragojević,Momen Dragu Prva Mu Je Leva,,Live Zadar 2002,,2002.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2002.0-Live Zadar 2002,2002.0-Live Zadar 2002
Oliver Dragojević,Oliver Dragojević,Pjesma Jednog Maestrala,,Live Zadar 2002,,2002.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2002.0-Live Zadar 2002,2002.0-Live Zadar 2002
Oliver Dragojević,Oliver Dragojević,Ni U Moru Mire,,Live Zadar 2002,,2002.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2002.0-Live Zadar 2002,2002.0-Live Zadar 2002
Oliver Dragojević,Oliver Dragojević,O' Miruj Srce,,Live Zadar 2002,,2002.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2002.0-Live Zadar 2002,2002.0-Live Zadar 2002
Oliver Dragojević,Oliver Dragojević,Dida Moj,,Live Zadar 2002,,2002.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2002.0-Live Zadar 2002,2002.0-Live Zadar 2002
Oliver Dragojević,Oliver Dragojević,Sve Ti Sritno Bilo,,Live Zadar 2002,,2002.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2002.0-Live Zadar 2002,2002.0-Live Zadar 2002
Oliver Dragojević,Oliver Dragojević,Umrli Su Kapitani,,Live Zadar 2002,,2002.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2002.0-Live Zadar 2002,2002.0-Live Zadar 2002
Oliver Dragojević,Oliver Dragojević,Tamo Da Putujem / Povratak,,Live Zadar 2002,,2002.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2002.0-Live Zadar 2002,2002.0-Live Zadar 2002
