Artist,Artist_discogs,Song_discogs,Song_duration_discogs,Album_title_discogs,Featuring_discogs,Remix_discogs,Producer_discogs,Arranged By_discogs,Guitar_discogs,Vocals_discogs,Mixed By_discogs,Choir_discogs,Bass_discogs,Conductor_discogs,Drums_discogs,Keyboards_discogs,Strings_discogs,Guest_discogs,Album_year_discogs,Acoustic Guitar_discogs,Electric Guitar_discogs,Backing Vocals_discogs,Bass Guitar_discogs,Music By_discogs,Lyrics By_discogs,Vocals [Recital]_discogs,Oboe_discogs,Fife_discogs,Orchestrated By_discogs,Trumpet_discogs,Violin_discogs,Chorus Master_discogs,Mandolin_discogs,Written-By_discogs,Performer_discogs,Album_year_title_discogs,All_albums_discogs
Thompson,Marko Perković Thompson,Diva Grabovčeva,5:44,Bilo Jednom U Hrvatskoj,,,,Tiho Orlić,,,,,,,Damir Šomen,Fedor Boić,,,,Tomislav Mandarić,Tomislav Mandarić,Vladimir Pavelić,Tiho Orlić,Marko Perković Thompson,Marko Perković Thompson,,,,,,,Zdravko Šljivac,,,,nan-Bilo Jednom U Hrvatskoj,nan-Bilo Jednom U Hrvatskoj/2007.0-Bilo Jednom U Hrvatskoj • Split - Stari Plac /nan-Bilo Jednom U Hrvatskoj - Stadion Maksimir Anno Domini MMVII/2013.0-Poljud Live Ora Et Labora/2016.0-Antologija/2019.0-Original Album Collection
Thompson,Marko Perković Thompson,Neko Ni'ko Ne Dira U Moj Mali Dio Svemira,4:17,Bilo Jednom U Hrvatskoj,,,,Tomislav Mandarić,,,,,,,Damir Šomen,Branimir Mihaljević,,,,,Tomislav Mandarić,Tomislav Mandarić,Tiho Orlić,Marko Perković Thompson,Marko Perković Thompson,,,,,,,,,,,nan-Bilo Jednom U Hrvatskoj,nan-Bilo Jednom U Hrvatskoj/2007.0-Bilo Jednom U Hrvatskoj • Split - Stari Plac 
Thompson,Marko Perković Thompson,Lipa Kaja,3:49,Bilo Jednom U Hrvatskoj,,,,Tiho Orlić,,,,,,,Damir Šomen,Fedor Boić,,,,Damir Lipošek,Tomislav Mandarić,Tomislav Mandarić,Tiho Orlić,Zdenko Hršak,Zdenko Hršak,,,,,,,,Damir Lipošek,,,nan-Bilo Jednom U Hrvatskoj,"nan-Bilo Jednom U Hrvatskoj/2007.0-Bilo Jednom U Hrvatskoj • Split - Stari Plac /nan-Bilo Jednom U Hrvatskoj - Stadion Maksimir Anno Domini MMVII/2013.0-Poljud Live Ora Et Labora/2015.0-The Best Of Collection/2016.0-Antologija/2016.0-Knin 5.8.2015. - Dan Pobjede: 20. Obljetnica Operacije ""Oluja""/2019.0-Original Album Collection"
Thompson,Marko Perković Thompson,Kletva Kralja Zvonimira,5:14,Bilo Jednom U Hrvatskoj,,,,Tiho Orlić,,,,,,,Damir Šomen,Berislav Blažević,,,,Tomislav Mandarić,Tomislav Mandarić,Tomislav Mandarić,Tiho Orlić,Marko Perković Thompson,Marko Perković Thompson,,,,,,,,,,,nan-Bilo Jednom U Hrvatskoj,"nan-Bilo Jednom U Hrvatskoj/2007.0-Bilo Jednom U Hrvatskoj • Split - Stari Plac /nan-Bilo Jednom U Hrvatskoj - Stadion Maksimir Anno Domini MMVII/2013.0-Poljud Live Ora Et Labora/2016.0-Antologija/2016.0-Knin 5.8.2015. - Dan Pobjede: 20. Obljetnica Operacije ""Oluja""/2019.0-Original Album Collection"
Thompson,Marko Perković Thompson,Ratnici Svjetla,4:02,Bilo Jednom U Hrvatskoj,,,,Tiho Orlić,,,,,,,Damir Šomen,Fedor Boić,,,,Tomislav Mandarić,Tomislav Mandarić,,Tiho Orlić,Marko Perković Thompson,Marko Perković Thompson,,,,,,,,,,,nan-Bilo Jednom U Hrvatskoj,nan-Bilo Jednom U Hrvatskoj/nan-Bilo Jednom U Hrvatskoj - Stadion Maksimir Anno Domini MMVII/2016.0-Antologija/2019.0-Original Album Collection
Thompson,Marko Perković Thompson,Dan Dolazi,5:42,Bilo Jednom U Hrvatskoj,,,,Tiho Orlić,,,,,,,Damir Šomen,Fedor Boić,,,,Damir Lipošek,Tomislav Mandarić,Tomislav Mandarić,Tiho Orlić,Marko Perković Thompson,Marko Perković Thompson,,,Stjepan Večković,,,,,,,,nan-Bilo Jednom U Hrvatskoj,nan-Bilo Jednom U Hrvatskoj/2007.0-Bilo Jednom U Hrvatskoj • Split - Stari Plac /nan-Bilo Jednom U Hrvatskoj - Stadion Maksimir Anno Domini MMVII/2016.0-Antologija/2019.0-Original Album Collection
Thompson,Marko Perković Thompson,Tamo Gdje Su Moji Korijeni,3:56,Bilo Jednom U Hrvatskoj,,,,Tiho Orlić,,,,,,,,Branimir Mihaljević,,,,Dragan Brnas,Tomislav Mandarić,Vladimir Pavelić,Tiho Orlić,Marko Perković Thompson,Marko Perković Thompson,,,,,,,,,,,nan-Bilo Jednom U Hrvatskoj,nan-Bilo Jednom U Hrvatskoj/nan-Bilo Jednom U Hrvatskoj - Stadion Maksimir Anno Domini MMVII/2015.0-The Best Of Collection/2016.0-Antologija/2019.0-Original Album Collection
Thompson,Marko Perković Thompson,Sine Moj,4:10,Bilo Jednom U Hrvatskoj,,,,Tiho Orlić,,,,,,,Damir Šomen,Branimir Mihaljević,,,,Tomislav Mandarić,Damir Lipošek,Tiho Orlić,Tiho Orlić,Marko Perković Thompson,Marko Perković Thompson,,,,,,,,,,,nan-Bilo Jednom U Hrvatskoj,nan-Bilo Jednom U Hrvatskoj/nan-Bilo Jednom U Hrvatskoj - Stadion Maksimir Anno Domini MMVII/2013.0-Poljud Live Ora Et Labora/2015.0-The Best Of Collection/2016.0-Antologija/2019.0-Original Album Collection
Thompson,Marko Perković Thompson,"Croatio, Iz Duše Te Ljubim",,Bilo Jednom U Hrvatskoj - Stadion Maksimir Anno Domini MMVII,,,,,,,,,,,,,,Tomislav Bralić & Klapa Intrade,,,,,,,,,,,,,,,,,,nan-Bilo Jednom U Hrvatskoj - Stadion Maksimir Anno Domini MMVII,nan-Bilo Jednom U Hrvatskoj - Stadion Maksimir Anno Domini MMVII
Thompson,Marko Perković Thompson,Neka Ni'ko Ne Dira U Moj Mali Dio Svemira,,Bilo Jednom U Hrvatskoj - Stadion Maksimir Anno Domini MMVII,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Bilo Jednom U Hrvatskoj - Stadion Maksimir Anno Domini MMVII,"nan-Bilo Jednom U Hrvatskoj - Stadion Maksimir Anno Domini MMVII/2013.0-Poljud Live Ora Et Labora/2016.0-Antologija/2016.0-Knin 5.8.2015. - Dan Pobjede: 20. Obljetnica Operacije ""Oluja""/2019.0-Original Album Collection"
Thompson,Marko Perković Thompson,Prognanička (Moj Grad),4:20,Druga Strana,,,,,,,,,,,,,,,2008.0,,,,,,,,,,,,,,,Marko Perković Thompson,,2008.0-Druga Strana,2008.0-Druga Strana/2016.0-Antologija
Thompson,Marko Perković Thompson,"Sjećaš Li Se, Draga (Ljutu Travu Na Ljutu Ranu)",5:36,Druga Strana,,,,,,,,,,,,,,,2008.0,,,,,,,,,,,,,,,Marko Perković Thompson,,2008.0-Druga Strana,2008.0-Druga Strana
Thompson,Marko Perković Thompson,Ima Nešto Vrjednije Od Zlata,4:40,Druga Strana,,,,,,,,,,,,,,,2008.0,,,,,Nenad Ninčević,Lj. Dadić,,,,,,,,,,,2008.0-Druga Strana,2008.0-Druga Strana/2016.0-Antologija
Thompson,Marko Perković Thompson,Lijepa Li Si (Orch.),5:18,Druga Strana,,,,,,,,,,,,,,,2008.0,,,,,,,,,,,,,,,Marko Perković Thompson,,2008.0-Druga Strana,2008.0-Druga Strana
Thompson,Marko Perković Thompson,Gori Borovina,,Tri Kuma - No'1,,,,,,,,,,,,,,,2008.0,,,,,,,,,,,,,,,,,2008.0-Tri Kuma - No'1,2008.0-Tri Kuma - No'1
Thompson,Marko Perković Thompson,Sude Mi,,Tri Kuma - No'1,,,,,,,,,,,,,,,2008.0,,,,,,,,,,,,,,,,,2008.0-Tri Kuma - No'1,2008.0-Tri Kuma - No'1
Thompson,Marko Perković Thompson,Neću Leći Prije Zore,,Tri Kuma - No'1,,,,,,,,,,,,,,,2008.0,,,,,,,,,,,,,,,,,2008.0-Tri Kuma - No'1,2008.0-Tri Kuma - No'1
Thompson,Marko Perković Thompson,Milo Moje,,Tri Kuma - No'1,,,,,,,,,,,,,,,2008.0,,,,,,,,,,,,,,,,,2008.0-Tri Kuma - No'1,2008.0-Tri Kuma - No'1
Thompson,Marko Perković Thompson,Dabogda Se I Ti Udala,,Tri Kuma - No'1,,,,,,,,,,,,,,,2008.0,,,,,,,,,,,,,,,,,2008.0-Tri Kuma - No'1,2008.0-Tri Kuma - No'1
Thompson,Marko Perković Thompson,Ne Vjeruje Srce Pameti,,Tri Kuma - No'1,,,,,,,,,,,,,,,2008.0,,,,,,,,,,,,,,,,,2008.0-Tri Kuma - No'1,2008.0-Tri Kuma - No'1
Thompson,Marko Perković Thompson,Moja Hercegovina,,Tri Kuma - No'1,,,,,,,,,,,,,,,2008.0,,,,,,,,,,,,,,,,,2008.0-Tri Kuma - No'1,2008.0-Tri Kuma - No'1
Thompson,Marko Perković Thompson,Tamo Gdje Je Dom,,Tri Kuma - No'1,,,,,,,,,,,,,,,2008.0,,,,,,,,,,,,,,,,,2008.0-Tri Kuma - No'1,2008.0-Tri Kuma - No'1
Thompson,Marko Perković Thompson,Anica Kninska Kraljica,,Tri Kuma - No'1,,,,,,,,,,,,,,,2008.0,,,,,,,,,,,,,,,,,2008.0-Tri Kuma - No'1,2008.0-Tri Kuma - No'1
Thompson,Marko Perković Thompson,Igraj Mare Prašina Se Diže,,Tri Kuma - No'1,,,,,,,,,,,,,,,2008.0,,,,,,,,,,,,,,,,,2008.0-Tri Kuma - No'1,2008.0-Tri Kuma - No'1
Thompson,Marko Perković Thompson,Ivana,,Tri Kuma - No'1,,,,,,,,,,,,,,,2008.0,,,,,,,,,,,,,,,,,2008.0-Tri Kuma - No'1,2008.0-Tri Kuma - No'1
Thompson,Marko Perković Thompson,Molio Sam Boga Za Te,,Tri Kuma - No'1,,,,,,,,,,,,,,,2008.0,,,,,,,,,,,,,,,,,2008.0-Tri Kuma - No'1,2008.0-Tri Kuma - No'1
Thompson,Marko Perković Thompson,Josef (Naslovna I Odjavna Pjesma),5:58,Glazba Iz Filma Josef,,,,,,,,,,,,,,,2011.0,,,,,,,,,,,,,,,,Marko Perković Thompson,2011.0-Glazba Iz Filma Josef,2011.0-Glazba Iz Filma Josef
Thompson,Marko Perković Thompson,Štakori U Rovu,1:16,Glazba Iz Filma Josef,,,,,,,,,,,,,,,2011.0,,,,,,,,,,,,,,,,,2011.0-Glazba Iz Filma Josef,2011.0-Glazba Iz Filma Josef
Thompson,Marko Perković Thompson,Galicijski Front 1915.,5:11,Glazba Iz Filma Josef,,,,,,,,,,,,,,,2011.0,,,,,,,,,,,,,,,,,2011.0-Glazba Iz Filma Josef,2011.0-Glazba Iz Filma Josef
Thompson,Marko Perković Thompson,Preživjeli Vojnik Josef,2:38,Glazba Iz Filma Josef,,,,,,,,,,,,,,,2011.0,,,,,,,,,,,,,,,,,2011.0-Glazba Iz Filma Josef,2011.0-Glazba Iz Filma Josef
Thompson,Marko Perković Thompson,Strijeljanje Vojnika Dezertera,2:48,Glazba Iz Filma Josef,,,,,,,,,,,,,,,2011.0,,,,,,,,,,,,,,,,,2011.0-Glazba Iz Filma Josef,2011.0-Glazba Iz Filma Josef
Thompson,Marko Perković Thompson,Vojnički Život U Kampu,3:11,Glazba Iz Filma Josef,,,,,,,,,,,,,,,2011.0,,,,,,,,,,,,,,,,,2011.0-Glazba Iz Filma Josef,2011.0-Glazba Iz Filma Josef
Thompson,Marko Perković Thompson,Obješeni Austrougarski Vojnici I Oberova Tema,2:38,Glazba Iz Filma Josef,,,,,,,,,,,,,,,2011.0,,,,,,,,,,,,,,,,,2011.0-Glazba Iz Filma Josef,2011.0-Glazba Iz Filma Josef
Thompson,Marko Perković Thompson,Prijetnja I Mačevanje,2:43,Glazba Iz Filma Josef,,,,,,,,,,,,,,,2011.0,,,,,,,,,,,,,,,,,2011.0-Glazba Iz Filma Josef,2011.0-Glazba Iz Filma Josef
Thompson,Marko Perković Thompson,Vojnička Straža,1:33,Glazba Iz Filma Josef,,,,,,,,,,,,,,,2011.0,,,,,,,,,,,,,,,,,2011.0-Glazba Iz Filma Josef,2011.0-Glazba Iz Filma Josef
Thompson,Marko Perković Thompson,Zasjeda,1:07,Glazba Iz Filma Josef,,,,,,,,,,,,,,,2011.0,,,,,,,,,,,,,,,,,2011.0-Glazba Iz Filma Josef,2011.0-Glazba Iz Filma Josef
Thompson,Marko Perković Thompson,Napad Čerkeza,3:02,Glazba Iz Filma Josef,,,,,,,,,,,,,,,2011.0,,,,,,,,,,,,,,,,,2011.0-Glazba Iz Filma Josef,2011.0-Glazba Iz Filma Josef
Thompson,Marko Perković Thompson,Ranjeni Ober,2:10,Glazba Iz Filma Josef,,,,,,,,,,,,,,,2011.0,,,,,,,,,,,,,,,,,2011.0-Glazba Iz Filma Josef,2011.0-Glazba Iz Filma Josef
Thompson,Marko Perković Thompson,Pelagija Prodaje Obera Za Konja,2:42,Glazba Iz Filma Josef,,,,,,,,,,,,,,,2011.0,,,,,,,,,,,,,,,,,2011.0-Glazba Iz Filma Josef,2011.0-Glazba Iz Filma Josef
Thompson,Marko Perković Thompson,Zarobljavanje I Ubijanje Oberovih Vojnika,2:58,Glazba Iz Filma Josef,,,,,,,,,,,,,,,2011.0,,,,,,,,,,,,,,,,,2011.0-Glazba Iz Filma Josef,2011.0-Glazba Iz Filma Josef
Thompson,Marko Perković Thompson,"Noć Prije Bitke, Ober Otkriva Pločicu",2:24,Glazba Iz Filma Josef,,,,,,,,,,,,,,,2011.0,,,,,,,,,,,,,,,,,2011.0-Glazba Iz Filma Josef,2011.0-Glazba Iz Filma Josef
Thompson,Marko Perković Thompson,Usred Bitke Serjoža Krade Identitet Josefa,1:48,Glazba Iz Filma Josef,,,,,,,,,,,,,,,2011.0,,,,,,,,,,,,,,,,,2011.0-Glazba Iz Filma Josef,2011.0-Glazba Iz Filma Josef
Thompson,Marko Perković Thompson,Ubojstvo Obera I Završna Scena,2:37,Glazba Iz Filma Josef,,,,,,,,,,,,,,,2011.0,,,,,,,,,,,,,,,,,2011.0-Glazba Iz Filma Josef,2011.0-Glazba Iz Filma Josef
Thompson,Marko Perković Thompson,"Josef (Naslovna Pjesma, TV I Radio Verzija)",4:51,Glazba Iz Filma Josef,,,,,,,,,,,,,,,2011.0,,,,,,,,,,,,,,,,,2011.0-Glazba Iz Filma Josef,2011.0-Glazba Iz Filma Josef
Thompson,Marko Perković Thompson,Uvijek Vjerni Tebi,5:15,Uvijek Vjerni Tebi,,,,,,,,,,,,,,,2012.0,,,,,,,,,,,,,,,,,2012.0-Uvijek Vjerni Tebi,"2012.0-Uvijek Vjerni Tebi/2013.0-Ora Et Labora/2013.0-Poljud Live Ora Et Labora/2016.0-Antologija/2016.0-Knin 5.8.2015. - Dan Pobjede: 20. Obljetnica Operacije ""Oluja"""
Thompson,Marko Perković Thompson,Sokolov Krik,4:37,Ora Et Labora,,,,,,,,,,,,,,,2013.0,,,,,,,,,,,,,,,,,2013.0-Ora Et Labora,2013.0-Ora Et Labora/2013.0-Poljud Live Ora Et Labora/2016.0-Antologija
Thompson,Marko Perković Thompson,Dobrodošli,5:45,Ora Et Labora,,,,,,,,,,,,,,,2013.0,,,,,,,,,,,,,,,,,2013.0-Ora Et Labora,2013.0-Ora Et Labora/2013.0-Poljud Live Ora Et Labora
Thompson,Marko Perković Thompson,Bog I Hrvati,9:26,Ora Et Labora,,,,,,,,,,,,,,,2013.0,,,,,,,,,,,,,,,,,2013.0-Ora Et Labora,2013.0-Ora Et Labora/2013.0-Poljud Live Ora Et Labora/2016.0-Antologija
Thompson,Marko Perković Thompson,Zapali Vatru,4:15,Ora Et Labora,,,,,,,,,,,,,,,2013.0,,,,,,,,,,,,,,,,,2013.0-Ora Et Labora,2013.0-Ora Et Labora/2013.0-Poljud Live Ora Et Labora/2016.0-Antologija
Thompson,Marko Perković Thompson,Maranatha,5:33,Ora Et Labora,,,,,,,,,,,,,,,2013.0,,,,,,Ante Ivas,,,,,,,,,,,2013.0-Ora Et Labora,"2013.0-Ora Et Labora/2013.0-Poljud Live Ora Et Labora/2014.0-Samo Je Ljubav Tajna Dvaju Svjetova/2016.0-Antologija/2016.0-Knin 5.8.2015. - Dan Pobjede: 20. Obljetnica Operacije ""Oluja"""
Thompson,Marko Perković Thompson,Bosna,8:48,Ora Et Labora,,,,,,,,,,,,,,,2013.0,,,,,,,,,,,,,,,,,2013.0-Ora Et Labora,"2013.0-Ora Et Labora/2013.0-Poljud Live Ora Et Labora/2014.0-Samo Je Ljubav Tajna Dvaju Svjetova/2015.0-The Best Of Collection/2016.0-Antologija/2016.0-Knin 5.8.2015. - Dan Pobjede: 20. Obljetnica Operacije ""Oluja"""
Thompson,Marko Perković Thompson,Samo Je Ljubav Tajna Dvaju Svjetova,5:47,Ora Et Labora,,,,,,,,,,,,,,,2013.0,,,,,,,,,,,,,,,,,2013.0-Ora Et Labora,"2013.0-Ora Et Labora/2013.0-Poljud Live Ora Et Labora/2014.0-Samo Je Ljubav Tajna Dvaju Svjetova/2015.0-The Best Of Collection/2016.0-Antologija/2016.0-Knin 5.8.2015. - Dan Pobjede: 20. Obljetnica Operacije ""Oluja"""
Thompson,Marko Perković Thompson,Nema Predaje,4:54,Ora Et Labora,,,,,,,,,,,,,,,2013.0,,,,,,,,,,,,,,,,,2013.0-Ora Et Labora,"2013.0-Ora Et Labora/2013.0-Poljud Live Ora Et Labora/2013.0-Oluja/2014.0-Samo Je Ljubav Tajna Dvaju Svjetova/2015.0-The Best Of Collection/2016.0-Antologija/2016.0-Knin 5.8.2015. - Dan Pobjede: 20. Obljetnica Operacije ""Oluja"""
Thompson,Marko Perković Thompson,Put U Raj,5:56,Ora Et Labora,,,,,,,,,,,,,,,2013.0,,,,,,,,,,,,,,,,,2013.0-Ora Et Labora,2013.0-Ora Et Labora/2013.0-Poljud Live Ora Et Labora/2016.0-Antologija
Thompson,Marko Perković Thompson,Outro,4:03,Poljud Live Ora Et Labora,,,,,,,,,,,,,,,2013.0,,,,,,,,,,,,,,,,,2013.0-Poljud Live Ora Et Labora,2013.0-Poljud Live Ora Et Labora
Thompson,Marko Perković Thompson,Dokumentarni Film - Ora Et Labora,,Poljud Live Ora Et Labora,,,,,,,,,,,,,,,2013.0,,,,,,,,,,,,,,,,,2013.0-Poljud Live Ora Et Labora,2013.0-Poljud Live Ora Et Labora
Thompson,Marko Perković Thompson,Bonus Track,,Samo Je Ljubav Tajna Dvaju Svjetova,,,,,,,,,,,,,,,2014.0,,,,,,,,,,,,,,,,,2014.0-Samo Je Ljubav Tajna Dvaju Svjetova,2014.0-Samo Je Ljubav Tajna Dvaju Svjetova
Thompson,Marko Perković Thompson,CD 1,,Antologija,,,,,,,,,,,,,,,2016.0,,,,,,,,,,,,,,,,,2016.0-Antologija,2016.0-Antologija
Thompson,Marko Perković Thompson,CD 2,,Antologija,,,,,,,,,,,,,,,2016.0,,,,,,,,,,,,,,,,,2016.0-Antologija,2016.0-Antologija
Thompson,Marko Perković Thompson,Anica – Kninska Kraljica,4:54,Antologija,,,,,,,,,,,,,,,2016.0,,,,,,,,,,,,,,,,,2016.0-Antologija,2016.0-Antologija
Thompson,Marko Perković Thompson,Sjećaš Li Se Draga (Ljutu Travu Na Ljutu Ranu),5:36,Antologija,,,,,,,,,,,,,,,2016.0,,,,,,,,,,,,,,,,,2016.0-Antologija,2016.0-Antologija
Thompson,Marko Perković Thompson,CD 3,,Antologija,,,,,,,,,,,,,,,2016.0,,,,,,,,,,,,,,,,,2016.0-Antologija,2016.0-Antologija
Thompson,Marko Perković Thompson,Ka' Bez Duše,4:20,Antologija,,,,,,,,,,,,,,,2016.0,,,,,,,,,,,,,,,,,2016.0-Antologija,2016.0-Antologija/2019.0-Original Album Collection
Thompson,Marko Perković Thompson,CD 4,,Antologija,,,,,,,,,,,,,,,2016.0,,,,,,,,,,,,,,,,,2016.0-Antologija,2016.0-Antologija
Thompson,Marko Perković Thompson,Intro,5:18,"Knin 5.8.2015. - Dan Pobjede: 20. Obljetnica Operacije ""Oluja""",,,,,,,,,,,,,,,2016.0,,,,,,,,,,,,,,,,,"2016.0-Knin 5.8.2015. - Dan Pobjede: 20. Obljetnica Operacije ""Oluja""","2016.0-Knin 5.8.2015. - Dan Pobjede: 20. Obljetnica Operacije ""Oluja"""
Thompson,Marko Perković Thompson,"Anica, Kninska Kraljica",4:54,"Knin 5.8.2015. - Dan Pobjede: 20. Obljetnica Operacije ""Oluja""",,,,,,,,,,,,,,,2016.0,,,,,,,,,,,,,,,,,"2016.0-Knin 5.8.2015. - Dan Pobjede: 20. Obljetnica Operacije ""Oluja""","2016.0-Knin 5.8.2015. - Dan Pobjede: 20. Obljetnica Operacije ""Oluja"""
Thompson,Marko Perković Thompson,Vrijeme Škorpiona,,Original Album Collection,,,,,,,,,,,,,,,2019.0,,,,,,,,,,,,,,,,,2019.0-Original Album Collection,2019.0-Original Album Collection
Thompson,Marko Perković Thompson,Rock'n'Roll,3:01,Original Album Collection,,,,,,,,,,,,,,,2019.0,,,,,,,,,,,,,,,,,2019.0-Original Album Collection,2019.0-Original Album Collection
Thompson,Marko Perković Thompson,Vjetar S Dinare,,Original Album Collection,,,,,,,,,,,,,,,2019.0,,,,,,,,,,,,,,,,,2019.0-Original Album Collection,2019.0-Original Album Collection
Thompson,Marko Perković Thompson,Lijepa Li Si (Thompson I Prijatelji),4:15,Original Album Collection,,,,,,,,,,,,,,,2019.0,,,,,,,,,,,,,,,,,2019.0-Original Album Collection,2019.0-Original Album Collection
Thompson,Marko Perković Thompson,Bilo Jednom U Hrvatskoj,,Original Album Collection,,,,,,,,,,,,,,,2019.0,,,,,,,,,,,,,,,,,2019.0-Original Album Collection,2019.0-Original Album Collection
