Artist,Artist_discogs,Song_discogs,Song_duration_discogs,Album_title_discogs,Featuring_discogs,Remix_discogs,Producer_discogs,Arranged By_discogs,Guitar_discogs,Vocals_discogs,Mixed By_discogs,Choir_discogs,Bass_discogs,Conductor_discogs,Drums_discogs,Keyboards_discogs,Strings_discogs,Guest_discogs,Album_year_discogs,Acoustic Guitar_discogs,Electric Guitar_discogs,Backing Vocals_discogs,Bass Guitar_discogs,Music By_discogs,Lyrics By_discogs,Vocals [Recital]_discogs,Oboe_discogs,Fife_discogs,Orchestrated By_discogs,Trumpet_discogs,Violin_discogs,Chorus Master_discogs,Mandolin_discogs,Written-By_discogs,Performer_discogs,Album_year_title_discogs,All_albums_discogs
Thompson,Marko Perković Thompson,Ljutu Travu Na Ljutu Ranu (MHJ '94),4:16,Vrijeme Škorpiona,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Vrijeme Škorpiona,nan-Vrijeme Škorpiona
Thompson,Marko Perković Thompson,Rosa (MHJ '93),2:57,Vrijeme Škorpiona,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Vrijeme Škorpiona,nan-Vrijeme Škorpiona
Thompson,Marko Perković Thompson,Ka Bez Duše,3:50,Geni Kameni,Klapa Sinj,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Geni Kameni,nan-Geni Kameni/2004.0-Turneja E Moj Narode/2008.0-Druga Strana
Thompson,Marko Perković Thompson,Geni Kameni,3:43,Geni Kameni,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Geni Kameni,"nan-Geni Kameni/2004.0-Turneja E Moj Narode/2004.0-Turneja E Moj Narode/nan-Bilo Jednom U Hrvatskoj - Stadion Maksimir Anno Domini MMVII/2013.0-Poljud Live Ora Et Labora/2015.0-The Best Of Collection/2016.0-Knin 5.8.2015. - Dan Pobjede: 20. Obljetnica Operacije ""Oluja""/2019.0-Original Album Collection/2019.0-Original Album Collection"
Thompson,Marko Perković Thompson,Bez Ljubavi,3:35,Geni Kameni,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Geni Kameni,nan-Geni Kameni/2019.0-Original Album Collection
Thompson,Marko Perković Thompson,Tamburaška,3:43,Geni Kameni,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Geni Kameni,nan-Geni Kameni/2008.0-Druga Strana/2016.0-Antologija/2019.0-Original Album Collection
Thompson,Marko Perković Thompson,Zašto Baš Nju,5:03,Geni Kameni,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Geni Kameni,nan-Geni Kameni/2019.0-Original Album Collection
Thompson,Marko Perković Thompson,Ovo Mi Diže Tlak,3:37,Geni Kameni,Marijan Ban,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Geni Kameni,nan-Geni Kameni/2016.0-Antologija/2019.0-Original Album Collection
Thompson,Marko Perković Thompson,Božićna,4:18,Geni Kameni,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Geni Kameni,nan-Geni Kameni/2014.0-Samo Je Ljubav Tajna Dvaju Svjetova/2016.0-Antologija/2019.0-Original Album Collection
Thompson,Marko Perković Thompson,Draga,4:05,Geni Kameni,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Geni Kameni,nan-Geni Kameni/2019.0-Original Album Collection
Thompson,Marko Perković Thompson,Kako Mi Je Teško Noćas,4:16,Geni Kameni,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Geni Kameni,nan-Geni Kameni/2016.0-Antologija/2019.0-Original Album Collection
Thompson,Marko Perković Thompson,Ima Nešto Vrijednije Od Zlata,3:20,Geni Kameni,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Geni Kameni,nan-Geni Kameni/2019.0-Original Album Collection
Thompson,Marko Perković Thompson,"Zaustavi Se, Vjetre",4:20,Vjetar S Dinare,Pajdaši,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Vjetar S Dinare,nan-Vjetar S Dinare/2013.0-Poljud Live Ora Et Labora/2016.0-Antologija/2019.0-Original Album Collection
Thompson,Marko Perković Thompson,Prijatelji,3:54,Vjetar S Dinare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Vjetar S Dinare,"nan-Vjetar S Dinare/nan-Sve Najbolje 1991. - 2003./2004.0-Turneja E Moj Narode/nan-Bilo Jednom U Hrvatskoj - Stadion Maksimir Anno Domini MMVII/2013.0-Oluja/2015.0-The Best Of Collection/2016.0-Antologija/2016.0-Knin 5.8.2015. - Dan Pobjede: 20. Obljetnica Operacije ""Oluja""/2019.0-Original Album Collection"
Thompson,Marko Perković Thompson,Lijepa Li Si,4:16,Vjetar S Dinare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Vjetar S Dinare,"nan-Vjetar S Dinare/nan-E, Moj Narode/nan-Sve Najbolje 1991. - 2003./2004.0-Turneja E Moj Narode/2004.0-Turneja E Moj Narode/2004.0-Turneja E Moj Narode/2007.0-Bilo Jednom U Hrvatskoj • Split - Stari Plac /nan-Bilo Jednom U Hrvatskoj - Stadion Maksimir Anno Domini MMVII/nan-Bilo Jednom U Hrvatskoj - Stadion Maksimir Anno Domini MMVII/2008.0-Tri Kuma - No'1/2013.0-Poljud Live Ora Et Labora/2013.0-Oluja/2015.0-The Best Of Collection/2016.0-Antologija/2016.0-Knin 5.8.2015. - Dan Pobjede: 20. Obljetnica Operacije ""Oluja""/2019.0-Original Album Collection"
Thompson,Marko Perković Thompson,"Ej, Haj, Pjesme Naše",4:08,Vjetar S Dinare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Vjetar S Dinare,nan-Vjetar S Dinare/2016.0-Antologija/2019.0-Original Album Collection
Thompson,Marko Perković Thompson,Dobro Jutro,3:34,Vjetar S Dinare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Vjetar S Dinare,nan-Vjetar S Dinare/2016.0-Antologija/2019.0-Original Album Collection
Thompson,Marko Perković Thompson,"Crne Noći, Bijeli Putevi",3:00,Vjetar S Dinare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Vjetar S Dinare,nan-Vjetar S Dinare/2019.0-Original Album Collection
Thompson,Marko Perković Thompson,Pijem Dušo,3:12,Vjetar S Dinare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Vjetar S Dinare,nan-Vjetar S Dinare/2019.0-Original Album Collection
Thompson,Marko Perković Thompson,Zašto Si Se Okomila Na Me,3:23,Vjetar S Dinare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Vjetar S Dinare,nan-Vjetar S Dinare/2004.0-Turneja E Moj Narode/2019.0-Original Album Collection
Thompson,Marko Perković Thompson,Ostavio Sam Te Draga,3:35,Vjetar S Dinare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Vjetar S Dinare,nan-Vjetar S Dinare/2016.0-Antologija/2019.0-Original Album Collection
Thompson,Marko Perković Thompson,"Pukni, Puško",3:35,Vjetar S Dinare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Vjetar S Dinare,nan-Vjetar S Dinare/2019.0-Original Album Collection
Thompson,Marko Perković Thompson,Iza Devet Sela,4:00,"E, Moj Narode",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"nan-E, Moj Narode","nan-E, Moj Narode/nan-Sve Najbolje 1991. - 2003./2004.0-Turneja E Moj Narode/2004.0-Turneja E Moj Narode/nan-Bilo Jednom U Hrvatskoj - Stadion Maksimir Anno Domini MMVII/2008.0-Tri Kuma - No'1/2015.0-The Best Of Collection/2016.0-Antologija/2016.0-Knin 5.8.2015. - Dan Pobjede: 20. Obljetnica Operacije ""Oluja""/2019.0-Original Album Collection"
Thompson,Marko Perković Thompson,Ne Varaj Me,4:15,"E, Moj Narode",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"nan-E, Moj Narode","nan-E, Moj Narode/nan-Sve Najbolje 1991. - 2003./2004.0-Turneja E Moj Narode/2004.0-Turneja E Moj Narode/2007.0-Bilo Jednom U Hrvatskoj • Split - Stari Plac /nan-Bilo Jednom U Hrvatskoj - Stadion Maksimir Anno Domini MMVII/2016.0-Antologija/2016.0-Knin 5.8.2015. - Dan Pobjede: 20. Obljetnica Operacije ""Oluja""/2019.0-Original Album Collection"
Thompson,Marko Perković Thompson,"E, Moj Narode",4:56,"E, Moj Narode",,,Nikša Bratoš,Nikša Bratoš,Nikša Bratoš,,,,,,,,,,,,,,,,,,,,,,,,,,,"nan-E, Moj Narode","nan-E, Moj Narode/nan-Sve Najbolje 1991. - 2003./2007.0-Bilo Jednom U Hrvatskoj • Split - Stari Plac /nan-Bilo Jednom U Hrvatskoj - Stadion Maksimir Anno Domini MMVII/2013.0-Poljud Live Ora Et Labora/2015.0-The Best Of Collection/2016.0-Antologija/2016.0-Knin 5.8.2015. - Dan Pobjede: 20. Obljetnica Operacije ""Oluja""/2019.0-Original Album Collection/2019.0-Original Album Collection"
