lemma,upos,Artist_name,Song,Song_ID,Lyrics_url,Views
daleko,ADV,Mišo Kovač,A kad se tebi opet vratim,zT3Xu5sD_1_0,"https://tekstovi.net/2,692,63166.html",586
opet,ADV,Mišo Kovač,A kad se tebi opet vratim,zT3Xu5sD_1_0,"https://tekstovi.net/2,692,63166.html",586
samo,ADV,Mišo Kovač,A kad se tebi opet vratim,zT3Xu5sD_1_0,"https://tekstovi.net/2,692,63166.html",586
još,ADV,Mišo Kovač,A kad se tebi opet vratim,zT3Xu5sD_1_0,"https://tekstovi.net/2,692,63166.html",586
malo,ADV,Mišo Kovač,A kad se tebi opet vratim,zT3Xu5sD_1_0,"https://tekstovi.net/2,692,63166.html",586
dugo,ADV,Mišo Kovač,A kad se tebi opet vratim,zT3Xu5sD_1_0,"https://tekstovi.net/2,692,63166.html",586
jednom,ADV,Mišo Kovač,Adios amor,zT3Xu5sD_1_1,"https://tekstovi.net/2,692,60164.html",1272
možda,ADV,Mišo Kovač,Adios amor,zT3Xu5sD_1_1,"https://tekstovi.net/2,692,60164.html",1272
sad,ADV,Mišo Kovač,Adios amor,zT3Xu5sD_1_1,"https://tekstovi.net/2,692,60164.html",1272
samo,ADV,Mišo Kovač,Ako me ostaviš,zT3Xu5sD_1_2,https://lyricstranslate.com/en/ako-me-ostavis-if-you-leave-me.html-0,113769
jednom,ADV,Mišo Kovač,Ako me ostaviš,zT3Xu5sD_1_2,https://lyricstranslate.com/en/ako-me-ostavis-if-you-leave-me.html-0,113769
ikad,ADV,Mišo Kovač,Ako sam ikad ljubav dao,zT3Xu5sD_1_3,https://cuspajz.com//tekstovi-pjesama/pjesma/mate-miso-kovac/ako-sam-ikad-ljubav-dao.html,5896
još,ADV,Mišo Kovač,Ako sam ikad ljubav dao,zT3Xu5sD_1_3,https://cuspajz.com//tekstovi-pjesama/pjesma/mate-miso-kovac/ako-sam-ikad-ljubav-dao.html,5896
uvijek,ADV,Mišo Kovač,Ako sam ikad ljubav dao,zT3Xu5sD_1_3,https://cuspajz.com//tekstovi-pjesama/pjesma/mate-miso-kovac/ako-sam-ikad-ljubav-dao.html,5896
sada,ADV,Mišo Kovač,Ako sam ikad ljubav dao,zT3Xu5sD_1_3,https://cuspajz.com//tekstovi-pjesama/pjesma/mate-miso-kovac/ako-sam-ikad-ljubav-dao.html,5896
mnogo,ADV,Mišo Kovač,Ako sam ikad ljubav dao,zT3Xu5sD_1_3,https://cuspajz.com//tekstovi-pjesama/pjesma/mate-miso-kovac/ako-sam-ikad-ljubav-dao.html,5896
tada,ADV,Mišo Kovač,Ako sam ikad ljubav dao,zT3Xu5sD_1_3,https://cuspajz.com//tekstovi-pjesama/pjesma/mate-miso-kovac/ako-sam-ikad-ljubav-dao.html,5896
samo,ADV,Mišo Kovač,Ako sam ikad ljubav dao,zT3Xu5sD_1_3,https://cuspajz.com//tekstovi-pjesama/pjesma/mate-miso-kovac/ako-sam-ikad-ljubav-dao.html,5896
izdaleka,ADV,Mišo Kovač,Ako tvoja duša moju pjesmu sluša,zT3Xu5sD_1_4,https://cuspajz.com//tekstovi-pjesama/pjesma/mate-miso-kovac/ako-tvoja-dusa-moju-pjesmu-slusa.html,7872
jasno,ADV,Mišo Kovač,Ako tvoja duša moju pjesmu sluša,zT3Xu5sD_1_4,https://cuspajz.com//tekstovi-pjesama/pjesma/mate-miso-kovac/ako-tvoja-dusa-moju-pjesmu-slusa.html,7872
mnogo,ADV,Mišo Kovač,Ako tvoja duša moju pjesmu sluša,zT3Xu5sD_1_4,https://cuspajz.com//tekstovi-pjesama/pjesma/mate-miso-kovac/ako-tvoja-dusa-moju-pjesmu-slusa.html,7872
kasno,ADV,Mišo Kovač,Ako tvoja duša moju pjesmu sluša,zT3Xu5sD_1_4,https://cuspajz.com//tekstovi-pjesama/pjesma/mate-miso-kovac/ako-tvoja-dusa-moju-pjesmu-slusa.html,7872
negdje,ADV,Mišo Kovač,Ako tvoja duša moju pjesmu sluša,zT3Xu5sD_1_4,https://cuspajz.com//tekstovi-pjesama/pjesma/mate-miso-kovac/ako-tvoja-dusa-moju-pjesmu-slusa.html,7872
nikad,ADV,Mišo Kovač,Ako tvoja duša moju pjesmu sluša,zT3Xu5sD_1_4,https://cuspajz.com//tekstovi-pjesama/pjesma/mate-miso-kovac/ako-tvoja-dusa-moju-pjesmu-slusa.html,7872
uzalud,ADV,Mišo Kovač,Ako tvoja duša moju pjesmu sluša,zT3Xu5sD_1_4,https://cuspajz.com//tekstovi-pjesama/pjesma/mate-miso-kovac/ako-tvoja-dusa-moju-pjesmu-slusa.html,7872
sada,ADV,Mišo Kovač,Ako tvoja duša moju pjesmu sluša,zT3Xu5sD_1_4,https://cuspajz.com//tekstovi-pjesama/pjesma/mate-miso-kovac/ako-tvoja-dusa-moju-pjesmu-slusa.html,7872
zašto,ADV,Mišo Kovač,Ako tvoja duša moju pjesmu sluša,zT3Xu5sD_1_4,https://cuspajz.com//tekstovi-pjesama/pjesma/mate-miso-kovac/ako-tvoja-dusa-moju-pjesmu-slusa.html,7872
opet,ADV,Mišo Kovač,Bez rastanka suza nema,zT3Xu5sD_1_5,https://cuspajz.com//tekstovi-pjesama/pjesma/mate-miso-kovac/bez-rastanka-suza-nema.html,1082
natrag,ADV,Mišo Kovač,Bez rastanka suza nema,zT3Xu5sD_1_5,https://cuspajz.com//tekstovi-pjesama/pjesma/mate-miso-kovac/bez-rastanka-suza-nema.html,1082
teško,ADV,Mišo Kovač,Bijela lađa,zT3Xu5sD_1_6,https://cuspajz.com//tekstovi-pjesama/pjesma/mate-miso-kovac/bijela-ladja.html,382
uzalud,ADV,Mišo Kovač,Bijela lađa,zT3Xu5sD_1_6,https://cuspajz.com//tekstovi-pjesama/pjesma/mate-miso-kovac/bijela-ladja.html,382
tu,ADV,Mišo Kovač,Bili ! Bili !,zT3Xu5sD_1_7,"https://tekstovi.net/2,692,63167.html",366
gdje,ADV,Mišo Kovač,Bili ! Bili !,zT3Xu5sD_1_7,"https://tekstovi.net/2,692,63167.html",366
visoko,ADV,Mišo Kovač,Bili ! Bili !,zT3Xu5sD_1_7,"https://tekstovi.net/2,692,63167.html",366
zauvijek,ADV,Mišo Kovač,Bili ! Bili !,zT3Xu5sD_1_7,"https://tekstovi.net/2,692,63167.html",366
gorko,ADV,Mišo Kovač,Bit ću daleko,zT3Xu5sD_1_8,https://cuspajz.com//tekstovi-pjesama/pjesma/mate-miso-kovac/bit-cu-daleko.html,312
daleko,ADV,Mišo Kovač,Bit ću daleko,zT3Xu5sD_1_8,https://cuspajz.com//tekstovi-pjesama/pjesma/mate-miso-kovac/bit-cu-daleko.html,312
lako,ADV,Mišo Kovač,Bit ću daleko,zT3Xu5sD_1_8,https://cuspajz.com//tekstovi-pjesama/pjesma/mate-miso-kovac/bit-cu-daleko.html,312
samo,ADV,Mišo Kovač,Bit ću daleko,zT3Xu5sD_1_8,https://cuspajz.com//tekstovi-pjesama/pjesma/mate-miso-kovac/bit-cu-daleko.html,312
uvijek,ADV,Mišo Kovač,Bit ću daleko,zT3Xu5sD_1_8,https://cuspajz.com//tekstovi-pjesama/pjesma/mate-miso-kovac/bit-cu-daleko.html,312
zato,ADV,Mišo Kovač,Budi čovjek dobre volje,zT3Xu5sD_1_9,https://cuspajz.com//tekstovi-pjesama/pjesma/mate-miso-kovac/budi-covjek-dobre-volje.html,10153
nikad,ADV,Mišo Kovač,Budi čovjek dobre volje,zT3Xu5sD_1_9,https://cuspajz.com//tekstovi-pjesama/pjesma/mate-miso-kovac/budi-covjek-dobre-volje.html,10153
brzo,ADV,Mišo Kovač,Budi čovjek dobre volje,zT3Xu5sD_1_9,https://cuspajz.com//tekstovi-pjesama/pjesma/mate-miso-kovac/budi-covjek-dobre-volje.html,10153
samo,ADV,Mišo Kovač,Čemu da živim,zT3Xu5sD_1_10,https://cuspajz.com//tekstovi-pjesama/pjesma/mate-miso-kovac/cemu-da-zivim.html,23161
tu,ADV,Mišo Kovač,Čemu da živim,zT3Xu5sD_1_10,https://cuspajz.com//tekstovi-pjesama/pjesma/mate-miso-kovac/cemu-da-zivim.html,23161
mnogo,ADV,Mišo Kovač,Čemu da živim,zT3Xu5sD_1_10,https://cuspajz.com//tekstovi-pjesama/pjesma/mate-miso-kovac/cemu-da-zivim.html,23161
tad,ADV,Mišo Kovač,Čemu da živim,zT3Xu5sD_1_10,https://cuspajz.com//tekstovi-pjesama/pjesma/mate-miso-kovac/cemu-da-zivim.html,23161
otkad,ADV,Mišo Kovač,Čuvajte mi pismu,zT3Xu5sD_1_11,https://cuspajz.com//tekstovi-pjesama/pjesma/mate-miso-kovac/cuvajte-mi-pismu.html,234
lako,ADV,Mišo Kovač,Čuvajte mi pismu,zT3Xu5sD_1_11,https://cuspajz.com//tekstovi-pjesama/pjesma/mate-miso-kovac/cuvajte-mi-pismu.html,234
blago,ADV,Mišo Kovač,Čuvajte mi pismu,zT3Xu5sD_1_11,https://cuspajz.com//tekstovi-pjesama/pjesma/mate-miso-kovac/cuvajte-mi-pismu.html,234
uvijek,ADV,Mišo Kovač,Čuvajte mi pismu,zT3Xu5sD_1_11,https://cuspajz.com//tekstovi-pjesama/pjesma/mate-miso-kovac/cuvajte-mi-pismu.html,234
jednom,ADV,Mišo Kovač,Čuvajte mi pismu,zT3Xu5sD_1_11,https://cuspajz.com//tekstovi-pjesama/pjesma/mate-miso-kovac/cuvajte-mi-pismu.html,234
sad,ADV,Mišo Kovač,Čuvajte mi pismu,zT3Xu5sD_1_11,https://cuspajz.com//tekstovi-pjesama/pjesma/mate-miso-kovac/cuvajte-mi-pismu.html,234
dobro,ADV,Mišo Kovač,Čuvajte mi pismu,zT3Xu5sD_1_11,https://cuspajz.com//tekstovi-pjesama/pjesma/mate-miso-kovac/cuvajte-mi-pismu.html,234
još,ADV,Mišo Kovač,Čuvajte mi pismu,zT3Xu5sD_1_11,https://cuspajz.com//tekstovi-pjesama/pjesma/mate-miso-kovac/cuvajte-mi-pismu.html,234
samo,ADV,Mišo Kovač,Čuvajte mi pismu,zT3Xu5sD_1_11,https://cuspajz.com//tekstovi-pjesama/pjesma/mate-miso-kovac/cuvajte-mi-pismu.html,234
